ABP.AX 01/03/17 14:15:59
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
2013-01-01,2.15161,2.15161,2.15161,2.15161,000,1.63807
2012-12-31,2.15161,2.19145,2.15161,2.15161,199300,1.63807
2012-12-28,2.15161,2.19145,2.15161,2.16157,81700,1.64565
2012-12-27,2.15161,2.17153,2.12173,2.15161,273100,1.63807
2012-12-26,2.16157,2.16157,2.16157,2.16157,000,1.64565
2012-12-25,2.16157,2.16157,2.16157,2.16157,000,1.64565
2012-12-24,2.14165,2.18149,2.12173,2.16157,108400,1.64565
2012-12-21,2.15161,2.17153,2.14165,2.14165,10400900,1.63049
2012-12-20,2.16157,2.16157,2.14165,2.15161,993400,1.63807
2012-12-19,2.13169,2.22134,2.11176,2.14165,715600,1.63049
2012-12-18,2.14165,2.15161,2.09682,2.12173,552700,1.61532
2012-12-17,2.24126,2.29106,2.12173,2.15161,734000,1.63807
2012-12-14,2.07192,2.1018,2.04204,2.1018,1844900,1.60015
2012-12-13,2.07192,2.08188,2.052,2.06196,582500,1.56982
2012-12-12,2.06196,2.06196,2.02709,2.06196,584800,1.56982
2012-12-11,2.01215,2.04204,2.01215,2.04204,209000,1.55465
2012-12-10,2.04204,2.04204,2.01215,2.01215,263200,1.5319
2012-12-07,2.04204,2.04702,2.02211,2.04204,311700,1.55465
2012-12-06,2.03207,2.04204,2.02211,2.04204,331800,1.55465
2012-12-05,2.01215,2.04204,2.01215,2.01215,381800,1.5319
2012-12-04,2.03207,2.03706,2.01215,2.01215,290900,1.5319
2012-12-03,2.04204,2.052,2.03207,2.04204,489400,1.55465
2012-11-30,2.06196,2.06196,2.03207,2.04204,507000,1.55465
2012-11-29,2.07192,2.0769,2.03207,2.052,1348700,1.56223
2012-11-28,2.09184,2.09184,2.06196,2.06196,168300,1.56982
2012-11-27,2.052,2.09184,2.052,2.09184,373100,1.59256
2012-11-26,2.07192,2.08188,2.052,2.052,188500,1.56223
2012-11-23,2.1018,2.1018,2.08188,2.09184,146900,1.59256
2012-11-22,2.04204,2.1018,2.02211,2.1018,520600,1.60015
2012-11-21,2.01215,2.03207,2.01215,2.02211,151900,1.53948
2012-11-20,2.01215,2.03706,2.01215,2.02211,374200,1.53948
2012-11-19,2.02211,2.03207,2.01713,2.03207,151700,1.54706
2012-11-16,2.03207,2.04204,2.02211,2.04204,230500,1.55465
2012-11-15,2.00219,2.03207,2.00219,2.03207,374700,1.54706
2012-11-14,2.01215,2.03207,1.99223,2.03207,455100,1.54706
2012-11-13,2.01215,2.08188,2.01215,2.04204,745900,1.55465
2012-11-12,2.03207,2.052,2.01713,2.02211,446400,1.53948
2012-11-09,2.02211,2.052,2.01713,2.03207,329400,1.54706
2012-11-08,2.00219,2.052,1.99223,2.04204,385300,1.55465
2012-11-07,2.01215,2.03207,2.01215,2.03207,266000,1.54706
2012-11-06,2.00219,2.03207,2.00219,2.03207,226100,1.54706
2012-11-05,2.03207,2.04204,2.01215,2.02211,417000,1.53948
2012-11-02,2.04204,2.07192,2.03706,2.04204,817500,1.55465
2012-11-01,2.04204,2.06196,2.04204,2.04204,1561200,1.55465
2012-10-31,2.07192,2.09184,2.04702,2.07192,364700,1.5774
2012-10-30,2.052,2.07192,2.03207,2.03207,2445300,1.54706
2012-10-29,2.04204,2.04204,2.01215,2.02211,323700,1.53948
2012-10-26,2.06196,2.06196,2.02211,2.02211,565500,1.53948
2012-10-25,2.08188,2.08188,2.04204,2.04204,413800,1.55465
2012-10-24,2.052,2.08686,2.052,2.07192,896200,1.5774
2012-10-23,2.052,2.08188,2.052,2.08188,311300,1.58498
2012-10-22,2.08188,2.08188,2.06196,2.06196,177400,1.56982
2012-10-19,2.052,2.08188,2.04204,2.07192,460400,1.5774
2012-10-18,2.07192,2.07192,2.04204,2.052,366900,1.56223
2012-10-17,2.04204,2.06196,2.03207,2.04204,254200,1.55465
2012-10-16,2.03207,2.052,2.03207,2.052,315700,1.56223
2012-10-15,2.02211,2.052,2.01215,2.02211,539600,1.53948
2012-10-12,2.052,2.06196,2.03207,2.04204,522700,1.55465
2012-10-11,2.04204,2.07192,2.03207,2.052,367100,1.56223
2012-10-10,2.00219,2.07192,2.00219,2.06196,539600,1.56982
2012-10-09,1.98227,2.02211,1.98227,2.02211,372600,1.53948
2012-10-08,2.03207,2.03207,1.97729,1.98227,966400,1.50915
2012-10-05,1.98227,2.02211,1.97729,2.01215,505000,1.5319
2012-10-04,1.99223,2.00219,1.96733,2.00219,398100,1.52431
2012-10-03,1.97231,1.99223,1.97231,1.98227,269400,1.50915
2012-10-02,1.93246,1.96235,1.93246,1.96235,311900,1.49398
2012-10-01,1.92748,1.94242,1.91752,1.91752,192900,1.45985
2012-09-28,1.92748,1.96235,1.92748,1.93246,2000800,1.47123
2012-09-27,1.93246,1.95239,1.92748,1.95239,1020600,1.4864
2012-09-26,1.97729,1.97729,1.9225,1.93246,2826400,1.47123
2012-09-25,1.96235,2.00219,1.94741,1.96733,1162300,1.49777
2012-09-24,1.99223,2.00219,1.96733,1.97729,828400,1.50536
2012-09-21,1.98227,2.00219,1.97729,1.99223,2577800,1.51673
2012-09-20,1.95239,2.01215,1.95239,2.01215,1531900,1.5319
2012-09-19,2.02211,2.02211,1.97231,1.97231,1047600,1.50156
2012-09-18,2.00219,2.02211,1.99223,2.01215,190300,1.5319
2012-09-17,2.03207,2.07192,2.00219,2.02211,282600,1.53948
2012-09-14,2.09184,2.11176,2.052,2.07192,207900,1.5774
2012-09-13,2.09184,2.09184,2.06196,2.08188,293000,1.58498
2012-09-12,2.07192,2.09184,2.04204,2.09184,514000,1.59256
2012-09-11,2.01215,2.06196,2.01215,2.052,285300,1.56223
2012-09-10,2.11176,2.11176,2.03207,2.03207,466400,1.54706
2012-09-07,2.11176,2.12173,2.052,2.11176,760000,1.60773
2012-09-06,2.07192,2.1018,2.06196,2.1018,805100,1.60015
2012-09-05,1.99223,2.06196,1.98725,2.052,726300,1.56223
2012-09-04,2.02211,2.02709,1.99223,2.00219,1422600,1.52431
2012-09-03,2.02211,2.02211,1.99223,2.01215,415800,1.5319
2012-08-31,2.00219,2.01713,1.98227,2.01215,1406600,1.5319
2012-08-30,1.99223,2.02709,1.99223,2.01215,667000,1.5319
2012-08-29,2.02211,2.02211,1.98426,1.98725,665800,1.51294
2012-08-28,2.00219,2.03207,1.96235,2.02211,860400,1.53948
2012-08-27,2.03207,2.03207,1.97231,1.97729,260700,1.50536
2012-08-24,2.00219,2.02211,2.00219,2.01215,367700,1.5319
2012-08-23,2.052,2.05698,1.99223,2.01215,907400,1.5319
2012-08-22,2.03207,2.052,2.01215,2.04204,414900,1.55465
2012-08-21,2.03207,2.04702,2.00219,2.03207,1329300,1.54706
2012-08-20,2.02211,2.06196,1.99721,2.01215,289100,1.5319
2012-08-17,1.99223,2.07192,1.97729,2.01215,1506400,1.5319
2012-08-16,1.99223,1.99223,1.98227,1.99223,875300,1.51673
2012-08-15,1.97729,1.99223,1.96733,1.99223,441100,1.51673
2012-08-14,1.98227,1.98725,1.94242,1.97231,678800,1.50156
2012-08-13,1.97231,1.99223,1.97231,1.99223,442800,1.51673
2012-08-10,1.97729,1.99223,1.96733,1.98227,249000,1.50915
2012-08-09,1.98725,1.98725,1.9743,1.98725,329200,1.51294
2012-08-08,1.98725,1.99223,1.97231,1.98725,834100,1.51294
2012-08-07,1.98725,1.98725,1.95737,1.98725,473900,1.51294
2012-08-06,1.99223,1.99223,1.97231,1.98725,223200,1.51294
2012-08-03,1.98725,1.98725,1.9743,1.98227,793600,1.50915
2012-08-02,1.99223,2.00219,1.97231,1.99223,437000,1.51673
2012-08-01,1.98227,1.98227,1.95737,1.98227,266900,1.50915
2012-07-31,1.99223,2.02211,1.95239,1.97729,553100,1.50536
2012-07-30,1.97729,1.98725,1.96235,1.97729,345300,1.50536
2012-07-27,1.94741,1.97729,1.94242,1.97729,195500,1.50536
2012-07-26,1.93744,1.93744,1.9225,1.93744,187200,1.47502
2012-07-25,1.93246,1.94741,1.90756,1.92748,280100,1.46743
2012-07-24,1.94242,1.95239,1.9225,1.94242,287100,1.47881
2012-07-23,1.98227,2.00219,1.9225,1.9225,272500,1.46364
2012-07-20,1.95239,1.99223,1.95239,1.98227,1274300,1.50915
2012-07-19,1.95737,1.97231,1.93744,1.96733,387300,1.49777
2012-07-18,1.95239,1.95239,1.92748,1.93246,260300,1.47123
2012-07-17,1.96235,1.96235,1.93446,1.94741,291400,1.48261
2012-07-16,1.97729,1.98227,1.96235,1.97231,387400,1.50156
2012-07-13,1.94242,1.97729,1.91254,1.96733,328200,1.49777
2012-07-12,1.92748,1.95239,1.92748,1.93246,203800,1.47123
2012-07-11,1.98227,1.99223,1.92748,1.93246,785100,1.47123
2012-07-10,1.96733,1.99223,1.96235,1.97729,436000,1.50536
2012-07-09,1.93744,1.97231,1.93246,1.96235,367600,1.49398
2012-07-06,1.99223,2.00219,1.94242,1.94242,497200,1.47881
2012-07-05,2.08188,2.09184,2.06196,2.06196,611100,1.52585
2012-07-04,2.08188,2.09184,2.06196,2.08188,2263000,1.54059
2012-07-03,2.06196,2.09184,2.052,2.08188,1278100,1.54059
2012-07-02,2.03207,2.07192,2.03207,2.07192,770500,1.53322
2012-06-29,2.00219,2.04204,1.97231,2.03207,797100,1.50373
2012-06-28,2.01215,2.03207,2.00219,2.02211,604500,1.49636
2012-06-27,2.00219,2.01215,1.98725,2.00219,610600,1.48162
2012-06-26,1.99223,2.02211,1.95737,2.01215,852700,1.48899
2012-06-25,1.97231,1.99223,1.94242,1.99223,1434200,1.47425
2012-06-22,1.98227,1.98227,1.9494,1.96733,1001600,1.45582
2012-06-21,1.98227,1.99223,1.97231,1.97729,16356100,1.46319
2012-06-20,1.98227,1.98227,1.94242,1.94242,732500,1.43739
2012-06-19,1.94741,1.97729,1.9225,1.97729,510700,1.46319
2012-06-18,1.9225,1.94741,1.91254,1.94741,863400,1.44108
2012-06-15,1.90756,1.92748,1.89262,1.9225,1047000,1.42265
2012-06-14,1.89262,1.9225,1.89262,1.90756,352700,1.41159
2012-06-13,1.95239,1.96235,1.89262,1.89262,500800,1.40054
2012-06-12,1.89262,1.95737,1.89262,1.95737,584300,1.44845
2012-06-11,1.89262,1.89262,1.89262,1.89262,000,1.40054
2012-06-08,1.9225,1.9225,1.89262,1.89262,255100,1.40054
2012-06-07,1.92748,1.94242,1.88764,1.9225,990500,1.42265
2012-06-06,1.9225,1.93744,1.89262,1.8976,592400,1.40422
2012-06-05,1.9225,1.93744,1.89262,1.90756,442600,1.41159
2012-06-04,1.93246,1.94741,1.91254,1.91254,428900,1.41528
2012-06-01,1.94741,1.96235,1.9225,1.96235,147900,1.45214
2012-05-31,1.91254,1.95239,1.90756,1.94242,390800,1.43739
2012-05-30,1.92748,1.94741,1.90756,1.91254,374100,1.41528
2012-05-29,1.93246,1.94741,1.91752,1.93246,212700,1.43002
2012-05-28,1.94741,1.94741,1.91254,1.93246,349400,1.43002
2012-05-25,1.9225,1.93744,1.91254,1.91752,2439500,1.41896
2012-05-24,1.98725,1.99223,1.91752,1.9225,366600,1.42265
2012-05-23,1.95737,1.98974,1.95737,1.96733,295800,1.45582
2012-05-22,1.94741,1.98725,1.93246,1.98227,536900,1.46688
